case_id,case_text_value_type,case_text,case_source,case_type,case_transaction_type,case_status,case_priority_level,date_time_created,date_time_closed,customer_tier
C00578,Multiple messages,"['My personal loan application has been pending for a very long time.', 'I submitted all the necessary documents last month.', 'Can you please provide me with an update?']",Email,Loans,Inquiry,Assigned,High,2025-04-03 16:15:00+08:00,,High
C00579,Single message,I want to close my BPI savings account. What are the requirements and the process?,Branch,Deposits,Request,Closed,Low,2025-04-04 11:45:00+08:00,2025-04-04 12:15:00+08:00,Mid
C00580,Single message,May unauthorized charge po sa credit card ko. Di ko po alam kung saan galing.,Facebook,Credit Cards,Complaint,New,High,2025-04-05 08:00:00+08:00,,Low
C00581,Single message,"Good morning, I would like to inquire about my credit card balance.",Email,Credit Cards,Inquiry,New,Low,2025-05-01 09:00:00+08:00,,Mid
C00582,User-chatbot conversation,"[""User: Hi, I'm trying to transfer funds to another bank but it's not working."", 'Chatbot: What error message are you receiving?', ""User: It says 'Transaction Failed'."", 'Chatbot: Please check if you have sufficient funds and if you have the correct account number.', ""User: I have enough funds and I'm sure the account number is correct."", 'Chatbot: Please provide the recipient bank name, the account number, and the amount you’re trying to transfer so we can assist.']",Phone,Deposits,Complaint,Assigned,High,2025-05-02 15:30:00+08:00,,Low
C00583,Multiple messages,"['I already paid my loan installment. When will it reflect on my account?', 'Nagbayad po ako yesterday.', 'I need to verify if na-post na.']",Facebook,Loans,Inquiry,New,High,2025-05-03 10:45:00+08:00,,High
C00584,Single message,What is the process for applying for a BPI personal loan?,Branch,Loans,Inquiry,Closed,Low,2025-05-04 11:00:00+08:00,2025-05-04 11:30:00+08:00,Mid
C00585,Single message,I have noticed an unauthorized transaction on my BPI debit card. Please assist.,Email,Deposits,Complaint,New,High,2025-05-05 16:15:00+08:00,,Low
C00586,Single message,Bakit po hindi ko ma-access yung savings account ko sa mobile app niyo?,Facebook,Deposits,Complaint,New,High,2025-06-01 08:00:00+08:00,,Low
C00587,User-chatbot conversation,"['User: Hi, I need to request a credit limit increase on my BPI credit card.', 'Chatbot: Okay, we can help you with that. Please confirm your identity.', 'User: How?', 'Chatbot: Please provide the last 4 digits of your credit card number and your date of birth.', 'User: [Provides information]', 'Chatbot: Thank you. Please wait while we process your request. What is your desired credit limit?', 'User: 100,000', 'Chatbot: Please note that the final decision will be based on our credit assessment.']",Phone,Credit Cards,Request,Assigned,High,2025-06-02 15:45:00+08:00,,Mid
C00588,Multiple messages,"['I have a BPI housing loan. I want to know my remaining balance.', 'Where can I find it?', 'Thank you.']",Email,Loans,Inquiry,New,Low,2025-06-03 10:15:00+08:00,,High
C00589,Single message,How do I deposit to my BPI account using GCash?,Branch,Deposits,Inquiry,Closed,Low,2025-06-04 11:30:00+08:00,2025-06-04 12:00:00+08:00,Mid
C00590,Single message,I have a problem with an unauthorized charge sa BPI credit card ko. Please help me dispute it.,Phone,Credit Cards,Complaint,New,High,2025-06-05 13:00:00+08:00,,Low
C00591,Single message,My BPI credit card is missing. Please block it immediately.,Phone,Credit Cards,Request,New,High,2025-07-01 11:00:00+08:00,,Low
C00592,User-chatbot conversation,"['User: How can I view my credit card statement online?', 'Chatbot: You can access your e-statements through the BPI mobile app or BPI Online.', ""User: I don't have access to online banking yet."", 'Chatbot: You can enroll your account by visiting the BPI website and following the instructions or by visiting your nearest branch.', 'User: What if I want a physical copy of my statement?', 'Chatbot: A physical copy will be charged P100 per statement.']",Phone,Credit Cards,Inquiry,Assigned,Low,2025-07-02 16:00:00+08:00,,Mid
C00593,Multiple messages,"['I want to apply for a BPI personal loan.', ""I'm an existing customer for 5 years."", 'What are the steps po?']",Email,Loans,Inquiry,New,Medium,2025-07-03 08:30:00+08:00,,High
C00594,Single message,How do I deposit to my BPI account using a different bank's mobile app?,Branch,Deposits,Inquiry,Closed,Low,2025-07-04 10:00:00+08:00,2025-07-04 10:30:00+08:00,Mid
C00595,Single message,"Unauthorized transaction sa account ko, ano gagawin ko?",Facebook,Deposits,Complaint,New,High,2025-07-05 14:15:00+08:00,,Low
C00596,Single message,"Good day, BPI. My credit card application was declined. I'd like to know why.",Email,Credit Cards,Complaint,New,Low,2025-08-01 10:00:00+08:00,,Mid
C00597,User-chatbot conversation,"[""User: I'm trying to send money via the app but it keeps saying 'insufficient balance' even though I have enough."", 'Chatbot: I understand. Can you tell me what amount you are trying to send and to which bank?', 'User: I am trying to send 5000 to BDO.', 'Chatbot: Please check your daily transaction limit. You might have exceeded it.', 'User: Where do I check the daily transaction limit?', 'Chatbot: You can find this information under your profile settings in the BPI app.']",Phone,Deposits,Complaint,Assigned,High,2025-08-02 15:00:00+08:00,,Low
C00598,Multiple messages,"['What are the documentary requirements to avail of a BPI housing loan?', ""I'm planning to buy a new property."", 'Can you please send the complete list to my email?']",Email,Loans,Inquiry,New,Medium,2025-08-03 09:30:00+08:00,,High
C00599,Single message,How can I request a replacement for my damaged BPI debit card?,Branch,Deposits,Request,Closed,Low,2025-08-04 11:00:00+08:00,2025-08-04 11:30:00+08:00,Mid
C00600,Single message,My BPI credit card was used for fraudulent transactions. Please investigate and block the card.,Phone,Credit Cards,Complaint,New,High,2025-08-05 14:45:00+08:00,,Low
C00601,Single message,Pano po mag-apply ng BPI Family Savings Bank credit card?,Facebook,Credit Cards,Inquiry,New,Low,2025-09-01 09:00:00+08:00,,Low
C00602,User-chatbot conversation,"['User: Hi, I forgot my password for BPI Online Banking. How do I reset it?', 'Chatbot: We can help with that. Please have your registered email ready.', 'User: Okay.', ""Chatbot: Click on 'Forgot Password' on the login page. We will send a reset link to your registered email address."", 'User: I did, but I didn’t receive anything.', 'Chatbot: Please check your spam/junk folder, just in case. If you still don’t see it, provide your registered email address and we’ll resend it.']",Phone,Deposits,Request,Assigned,High,2025-09-02 15:30:00+08:00,,Mid
C00603,Multiple messages,"['I would like to inquire about the interest rates for a BPI car loan.', 'I am planning to purchase a new car.', 'Can you send me a link to your online calculator?']",Email,Loans,Inquiry,New,Medium,2025-09-03 10:45:00+08:00,,High
C00604,Single message,I want to update my mailing address for my credit card. How can I do that?,Branch,Credit Cards,Request,Closed,Low,2025-09-04 11:00:00+08:00,2025-09-04 11:30:00+08:00,Mid
C00605,Single message,My BPI debit card was used for unauthorized online purchases. Please investigate.,Phone,Deposits,Complaint,New,High,2025-09-05 16:00:00+08:00,,Low
C00606,Single message,Bakit po ang tagal mag reflect ng remittance galing abroad sa BPI account ko?,Facebook,Deposits,Complaint,New,High,2025-10-01 10:00:00+08:00,,Low
C00607,User-chatbot conversation,"[""User: Hi, I'm trying to apply for a BPI personal loan online. I'm having trouble uploading the documents."", 'Chatbot: What seems to be the problem with uploading the documents?', ""User: It keeps saying 'File size too large'."", 'Chatbot: Please ensure that your files are within the size limit. The maximum file size is 2MB.', 'User: How do I reduce the file size?', 'Chatbot: You can use online tools or compress the files before uploading.']",Phone,Loans,Complaint,Assigned,Medium,2025-10-02 14:30:00+08:00,,High
C00608,Multiple messages,"['I want to inquire about the available credit card promos for dining.', 'Where can I find a list of participating restaurants?', 'Thanks!']",Email,Credit Cards,Inquiry,New,Low,2025-10-03 09:15:00+08:00,,Mid
C00609,Single message,What are the requirements to open a BPI Savings account for a minor?,Branch,Deposits,Inquiry,Closed,Medium,2025-10-04 11:45:00+08:00,2025-10-04 12:15:00+08:00,Mid
C00610,Single message,I suspect fraudulent activity on my BPI credit card. Please help!,Phone,Credit Cards,Complaint,New,High,2025-10-05 15:00:00+08:00,,Low
C00611,Single message,My BPI credit card is expiring this month. How do I get a replacement?,Email,Credit Cards,Inquiry,New,Medium,2025-11-01 10:30:00+08:00,,Mid
C00612,User-chatbot conversation,"['User: I want to inquire about the interest rates on a BPI home loan.', 'Chatbot: Good day! Are you an existing BPI customer?', 'User: Yes, I am.', 'Chatbot: Please provide your customer number.', 'User: [Customer Number]', 'Chatbot: Thank you. Please hold while I retrieve your details...']",Phone,Loans,Inquiry,Assigned,Medium,2025-11-02 14:00:00+08:00,,High
C00613,Multiple messages,"['I transferred funds from my BPI account to another bank pero di pa dumating.', ""It's been over 24 hours."", 'Please help me track my transaction.']",Facebook,Deposits,Complaint,New,High,2025-11-03 09:45:00+08:00,,Low
C00614,Single message,What are the steps to open a joint savings account with BPI?,Branch,Deposits,Inquiry,Closed,Low,2025-11-04 11:15:00+08:00,2025-11-04 11:45:00+08:00,Mid
C00615,Single message,There's a suspicious charge on my BPI debit card. Please investigate and reverse it.,Phone,Deposits,Complaint,New,High,2025-11-05 15:00:00+08:00,,Low
C00616,Single message,Pano po i-activate yung BPI Debit Mastercard ko?,Facebook,Deposits,Inquiry,New,Low,2025-12-01 08:00:00+08:00,,Low
C00617,User-chatbot conversation,"['User: I want to inquire about the rewards program for my BPI credit card.', 'Chatbot: Sure, what card do you have?', 'User: BPI Amore Visa.', 'Chatbot: You earn 1 point for every P35 spent. These points can be redeemed for various rewards.', 'User: Where can I see the rewards catalog?', 'Chatbot: You can view the catalog in our BPI Rewards website or mobile app. You can also use your points to redeem eGCs.']",Phone,Credit Cards,Inquiry,Assigned,Medium,2025-12-02 15:45:00+08:00,,Mid
C00618,Multiple messages,"[""I need to apply for a BPI housing loan. But I'm currently an OFW."", 'Is there a specific procedure for OFWs?', 'Thanks!']",Email,Loans,Inquiry,New,Medium,2025-12-03 10:15:00+08:00,,High
C00619,Single message,I have a problem. My BPI Online banking is locked. How can I unlock?,Branch,Deposits,Complaint,Closed,Low,2025-12-04 11:30:00+08:00,2025-12-04 12:00:00+08:00,Mid
C00620,Single message,There are unauthorized transactions in my BPI credit card. Please help me to dispute this.,Phone,Credit Cards,Complaint,New,High,2025-12-05 13:00:00+08:00,,Low
C00621,Single message,How do I transfer money from BPI to GCash?,Email,Deposits,Inquiry,New,Low,2026-01-01 14:30:00+08:00,,Mid
C00622,User-chatbot conversation,"['User: I want to inquire about a BPI personal loan. What documents do I need?', 'Chatbot: Are you an existing BPI customer?', 'User: Yes', 'Chatbot: Okay, aside from the application form, you will need a valid government ID and proof of income. Would you like a detailed list?', 'User: Yes, please.', 'Chatbot: I have sent a detailed list of requirements to your registered email address.']",Phone,Loans,Inquiry,Assigned,Medium,2026-01-02 09:00:00+08:00,,High
C00623,Multiple messages,"['My BPI credit card statement is not reflecting the correct amount.', ""There's a transaction that I did not make."", 'Please investigate.']",Facebook,Credit Cards,Complaint,New,High,2026-01-03 16:45:00+08:00,,Low
C00624,Single message,"Good day, gusto ko po mag-open ng BPI savings account. Ano po ang kailangan?",Branch,Deposits,Inquiry,Closed,Low,2026-01-04 11:30:00+08:00,2026-01-04 12:00:00+08:00,Mid
C00625,Single message,My BPI Online banking account is locked due to too many failed login attempts. How can I unlock it?,Phone,Deposits,Request,New,High,2026-01-05 08:15:00+08:00,,Low
C00626,Single message,Gusto ko po mag-apply ng BPI credit card. Paano po yung requirements?,Facebook,Credit Cards,Inquiry,New,Medium,2026-02-01 11:00:00+08:00,,Low
C00627,User-chatbot conversation,"['User: I need to update my registered email address with BPI.', 'Chatbot: Okay, for security purposes, we need to verify your identity first.', 'User: How do I do that?', 'Chatbot: Can you please provide the last four digits of your account number and your date of birth?', 'User: [Provides information]', 'Chatbot: Thank you. What is your new email address?']",Phone,Deposits,Request,Assigned,High,2026-02-02 16:00:00+08:00,,Mid
C00628,Multiple messages,"['I already paid my credit card bill but it still shows unpaid.', 'I paid through BPI online banking last week.', 'Please check and update my account.']",Email,Credit Cards,Complaint,New,High,2026-02-03 08:30:00+08:00,,Low
C00629,Single message,What are the requirements to apply for a BPI housing loan?,Branch,Loans,Inquiry,Closed,Low,2026-02-04 10:00:00+08:00,2026-02-04 10:30:00+08:00,High
C00630,Single message,I am unable to access my BPI mobile banking app. What should I do?,Phone,Deposits,Complaint,New,High,2026-02-05 15:15:00+08:00,,Low
C00631,Single message,How do I enroll my BPI credit card for online transactions?,Email,Credit Cards,Inquiry,New,Medium,2026-03-01 09:00:00+08:00,,Mid
C00632,User-chatbot conversation,"['User: I made a mistake in transferring funds to another BPI account. What can I do?', 'Chatbot: Please provide the details of the transaction, including the date, time, amount, and the incorrect account number.', 'User: Ok, date: yesterday, time: 2pm, amount: 10,000, incorrect account number: 1234567890', 'Chatbot: Thank you. We will investigate this and get back to you within 2-3 business days. What is the correct account number?', 'User: [Provides correct account number]', 'Chatbot: We have noted the correct account number. We appreciate your patience.']",Phone,Deposits,Complaint,Assigned,High,2026-03-02 15:00:00+08:00,,Low
C00633,Multiple messages,"['Gusto ko sanang mag-apply ng BPI personal loan online. Pwede ba?', 'Ano po yung mga steps?', 'Thank you.']",Email,Loans,Inquiry,New,Medium,2026-03-03 11:15:00+08:00,,High
C00634,Single message,How can I request a copy of my deposit account statement?,Branch,Deposits,Request,Closed,Low,2026-03-04 10:30:00+08:00,2026-03-04 11:00:00+08:00,Mid
C00635,Single message,I think my BPI credit card has been compromised. Please block it and investigate any unauthorized transactions.,Phone,Credit Cards,Complaint,New,High,2026-03-05 16:00:00+08:00,,Low
C00636,Single message,"Hello, I need to reset my BPI Online Banking password.",Email,Deposits,Request,New,High,2026-04-01 10:45:00+08:00,,Mid
C00637,User-chatbot conversation,"[""User: I want to apply for a BPI car loan. What's the interest rate?"", 'Chatbot: The interest rate depends on several factors, including the loan amount, term, and your credit score.', 'User: Can you give me a rough estimate?', 'Chatbot: Please tell me the amount of loan you would like to borrow and the term you are considering, and I can give you an estimate.', 'User: P500,000 for 3 years', 'Chatbot: Just a moment...']",Phone,Loans,Inquiry,Assigned,Medium,2026-04-02 15:30:00+08:00,,High
C00638,Multiple messages,"['I received a notification about an unauthorized transaction on my BPI credit card.', 'I did not make this purchase.', 'Please block my card and investigate immediately!']",Facebook,Credit Cards,Complaint,New,High,2026-04-03 09:00:00+08:00,,Low
C00639,Single message,"Good day, gusto ko po mag-open ng dollar account sa BPI. Ano po ang requirements?",Branch,Deposits,Inquiry,Closed,Low,2026-04-04 11:15:00+08:00,2026-04-04 11:45:00+08:00,Mid
C00640,Single message,I am having trouble accessing the BPI mobile app. It keeps crashing. What should I do?,Phone,Deposits,Complaint,New,High,2026-04-05 14:30:00+08:00,,Low
C00641,Single message,My BPI debit card was declined at a store. I have sufficient funds in my account. What could be the problem?,Phone,Deposits,Complaint,New,High,2026-05-01 08:00:00+08:00,,Low
C00642,User-chatbot conversation,"['User: Hi, I want to convert my credit card purchase to installment.', 'Chatbot: What is the amount of your transaction and when did you make it?', ""User: It's P20,000 and I made the purchase last week."", 'Chatbot: To proceed, please provide the last four digits of your credit card.', 'User: [Provides information]', 'Chatbot: Thank you. Which installment term would you like to choose: 3, 6, 12, or 24 months?']",Phone,Credit Cards,Request,Assigned,High,2026-05-02 15:45:00+08:00,,Mid
C00643,Multiple messages,"['I’m trying to apply for a BPI auto loan online, but the website is not working.', 'I’ve tried different browsers and devices.', 'Can you please fix this issue?']",Email,Loans,Complaint,New,Medium,2026-05-03 10:15:00+08:00,,High
C00644,Single message,Where is the nearest BPI branch that is open on a Saturday?,Branch,Deposits,Inquiry,Closed,Low,2026-05-04 11:30:00+08:00,2026-05-04 12:00:00+08:00,Mid
C00645,Single message,"My BPI credit card has unauthorized charges, please investigate ASAP!",Facebook,Credit Cards,Complaint,New,High,2026-05-05 13:00:00+08:00,,Low
C00646,Single message,My BPI savings account is not showing up on my BPI mobile app.,Email,Deposits,Complaint,New,High,2026-06-01 09:15:00+08:00,,Low
C00647,User-chatbot conversation,"[""User: I want to cancel my BPI credit card. What's the procedure?"", 'Chatbot: Okay, to proceed, please provide your credit card number.', 'User: [Provides Credit Card Number]', 'Chatbot: Please confirm your name and billing address.', 'User: [Confirms information]', 'Chatbot: Please tell us the reason for cancelling your credit card.']",Phone,Credit Cards,Request,Assigned,High,2026-06-02 14:45:00+08:00,,Mid
C00648,Multiple messages,"['I am planning to apply for a BPI home loan. How much can I borrow?', 'I have a stable income and good credit standing.', 'Please provide details.']",Email,Loans,Inquiry,New,Medium,2026-06-03 11:00:00+08:00,,High
C00649,Single message,What are the requirements to open a BPI Jumpstart account?,Branch,Deposits,Inquiry,Closed,Low,2026-06-04 10:30:00+08:00,2026-06-04 11:00:00+08:00,Mid
C00650,Single message,My BPI debit card got charged for an online purchase I did not make! Anong gagawin ko?,Facebook,Deposits,Complaint,New,High,2026-06-05 16:00:00+08:00,,Low
C00651,Single message,"Hi, I need to report a lost BPI credit card. Please cancel and issue a replacement.",Email,Credit Cards,Request,New,High,2026-07-01 10:00:00+08:00,,Low
C00652,User-chatbot conversation,"['User: I am trying to transfer funds from BPI to another bank, but it is not going through. Help!', 'Chatbot: What specific error message are you receiving?', 'User: It just says transaction failed', 'Chatbot: Please verify that the account number and bank details are correct. What is the name of the bank you are transferring to?', 'User: BDO', 'Chatbot: Please also ensure you have sufficient funds and you are within your daily transfer limit.']",Phone,Deposits,Complaint,Assigned,High,2026-07-02 15:30:00+08:00,,Mid
C00653,Multiple messages,"['I want to inquire about the documentary requirements for a BPI home loan.', 'Please send me the list of requirements.', 'I am planning to buy a house next year.']",Email,Loans,Inquiry,New,Medium,2026-07-03 09:30:00+08:00,,High
C00654,Single message,How do I open a time deposit account in BPI?,Branch,Deposits,Inquiry,Closed,Low,2026-07-04 11:00:00+08:00,2026-07-04 11:30:00+08:00,Mid
C00655,Single message,I have unauthorized transactions on my BPI credit card. Block it now and investigate,Facebook,Credit Cards,Complaint,New,High,2026-07-05 16:15:00+08:00,,Low
C00656,Single message,Hindi ko ma-access ang aking BPI online banking account. Paano ko ito ma-reset?,Facebook,Deposits,Request,New,High,2026-08-01 08:00:00+08:00,,Low
C00657,User-chatbot conversation,"['User: I want to inquire about my BPI credit card rewards points.', 'Chatbot: What type of BPI credit card do you have?', 'User: BPI Gold Mastercard.', 'Chatbot: One moment, please, while I access your account details. How would you like to use your points?', 'User: Can I convert them to cash?', 'Chatbot: Yes, you can convert your rewards points to cash credits or gift certificates.']",Phone,Credit Cards,Inquiry,Assigned,Medium,2026-08-02 15:45:00+08:00,,Mid
C00658,Multiple messages,"['I have been trying to apply for a salary loan online, but I am encountering errors.', 'The website is not loading properly.', 'Could you please assist?']",Email,Loans,Complaint,New,Medium,2026-08-03 10:15:00+08:00,,High
C00659,Single message,What are the requirements to open a BPI Max Savings account?,Branch,Deposits,Inquiry,Closed,Low,2026-08-04 11:30:00+08:00,2026-08-04 12:00:00+08:00,Mid
C00660,Single message,I need to file a dispute for an unauthorized transaction on my BPI debit card. How do I do that?,Phone,Deposits,Complaint,New,High,2026-08-05 13:00:00+08:00,,Low
C00661,Single message,My BPI credit card is expiring soon. Will I automatically receive a new card?,Email,Credit Cards,Inquiry,New,Low,2026-09-01 10:00:00+08:00,,Mid
C00662,User-chatbot conversation,"['User: I tried to transfer funds, but it says I exceeded my daily limit. What is my daily limit?', 'Chatbot: To confirm your daily transfer limit, please provide the last 4 digits of your account number.', 'User: [provides digits]', 'Chatbot: Thank you, one moment while we verify.', 'Chatbot: Your daily transfer limit is P50,000. Would you like to request an increase?']",Phone,Deposits,Inquiry,Assigned,Low,2026-09-02 14:30:00+08:00,,High
C00663,Multiple messages,"['I applied for a housing loan two weeks ago.', 'What is the status of my application?', 'Can you please give me an update?']",Email,Loans,Inquiry,Assigned,Medium,2026-09-03 09:30:00+08:00,,Mid
C00664,Single message,What documents are required to open a savings account for a senior citizen?,Branch,Deposits,Inquiry,Closed,Low,2026-09-04 11:00:00+08:00,2026-09-04 11:30:00+08:00,Mid
C00665,Single message,My BPI credit card statement shows charges that I did not authorize. Please help me file a dispute.,Facebook,Credit Cards,Complaint,New,High,2026-09-05 14:00:00+08:00,,Low
C00666,Single message,Bakit po ang tagal bago mag-reflect ang payment ko sa credit card?,Facebook,Credit Cards,Complaint,New,High,2026-10-01 08:00:00+08:00,,Low
C00667,User-chatbot conversation,"['User: I’m trying to apply for a BPI personal loan. I can’t find the application form online.', 'Chatbot: We can assist you. Are you an existing BPI client?', 'User: Yes.', 'Chatbot: Please provide your Customer Number so I can guide you to the application form.', 'User: [Provides Customer Number]', 'Chatbot: Thank you, please wait while I retrieve your information.']",Phone,Loans,Request,Assigned,Medium,2026-10-02 15:30:00+08:00,,Mid
C00668,Multiple messages,"['I want to request a copy of my bank statement for the past 6 months.', 'What is the process and how much will it cost?', 'Thanks.']",Email,Deposits,Inquiry,New,Medium,2026-10-03 10:15:00+08:00,,High
C00669,Single message,I want to inquire about the BPI Preferred client benefits.,Branch,Deposits,Inquiry,Closed,Low,2026-10-04 11:30:00+08:00,2026-10-04 12:00:00+08:00,High
C00670,Single message,There is a suspicious transaction on my BPI credit card. Can you investigate?,Phone,Credit Cards,Complaint,New,High,2026-10-05 13:00:00+08:00,,Low
C00671,Single message,How do I activate my new BPI debit card for online transactions?,Email,Deposits,Inquiry,New,Low,2026-11-01 09:00:00+08:00,,Mid
C00672,User-chatbot conversation,"['User: Hi, I want to convert my credit card purchase to an installment plan.', 'Chatbot: No problem! Could you provide the details of the transaction? When did it occur, and how much was it?', 'User: It was last week and the amount is ₱15,000.', 'Chatbot: Okay. What installment term are you interested in - 3, 6, 12, or 24 months?', 'User: 12 months', 'Chatbot: Please wait while we process your request.']",Phone,Credit Cards,Request,Assigned,Medium,2026-11-02 14:30:00+08:00,,High
C00673,Multiple messages,"['I want to apply for a BPI home loan, pero nasa abroad po ako.', 'Can I do it online?', 'Thanks.']",Email,Loans,Inquiry,New,Medium,2026-11-03 11:00:00+08:00,,Mid
C00674,Single message,What are the requirements for opening a joint account?,Branch,Deposits,Inquiry,Closed,Low,2026-11-04 10:30:00+08:00,2026-11-04 11:00:00+08:00,Mid
C00675,Single message,There is an unauthorized charge on my BPI Family Savings credit card statement. Please investigate.,Phone,Credit Cards,Complaint,New,High,2026-11-05 15:15:00+08:00,,Low
C00676,Single message,Pano po ako mag-apply ng BPI credit card online?,Facebook,Credit Cards,Inquiry,New,Medium,2026-12-01 10:00:00+08:00,,Low
C00677,User-chatbot conversation,"['User: My online banking account is locked. What do I do?', 'Chatbot: Are you able to recall your username and password?', 'User: I remember my username but not my password.', 'Chatbot: Please click on the ‘Forgot Password’ link to begin the reset process.', 'User: I already did that, but I haven’t received the reset email.', 'Chatbot: Can you please confirm your registered email address so I can check if it is correct?']",Phone,Deposits,Complaint,Assigned,High,2026-12-02 15:30:00+08:00,,Mid
C00678,Multiple messages,"['I have some questions about the BPI auto loan. I would like to know more about it.', 'Can you call me at [phone number]?', 'Thanks.']",Phone,Loans,Inquiry,New,Medium,2026-12-03 10:15:00+08:00,,High
C00679,Single message,What are the requirements to open a BPI Jumpstart Savings Account?,Branch,Deposits,Inquiry,Closed,Low,2026-12-04 11:30:00+08:00,2026-12-04 12:00:00+08:00,Mid
C00680,Single message,I saw an unauthorized online transaction on my BPI credit card! Please block the card and investigate.,Phone,Credit Cards,Complaint,New,High,2026-12-05 13:00:00+08:00,,Low
C00681,Single message,"Hi, I want to inquire about the BPI credit card annual fees. Are there any cards with waived fees?",Email,Credit Cards,Inquiry,New,Medium,2027-01-01 09:00:00+08:00,,Mid
C00682,User-chatbot conversation,"['User: I tried to transfer funds using your mobile app, but the transaction failed. My account was debited, but the funds didn’t go through to the recipient.', 'Chatbot: I understand. Can you give me the transaction details?', 'User: Date: Yesterday, Amount: P5000, Recipient Account: 1234567890, Recipient Bank: BDO.', 'Chatbot: Please allow us 24-48 hours to investigate. We will send you updates. Do you have any other questions?']",Phone,Deposits,Complaint,Assigned,High,2027-01-02 15:30:00+08:00,,Low
C00683,Multiple messages,"['I’m interested in applying for a BPI auto loan. But I work abroad. Can you help?', 'What are the requirements for OFWs?', 'Please email me the details to [email address].']",Email,Loans,Inquiry,New,Medium,2027-01-03 10:45:00+08:00,,High
C00684,Single message,How do I enroll my BPI debit card in online banking?,Branch,Deposits,Inquiry,Closed,Low,2027-01-04 11:00:00+08:00,2027-01-04 11:30:00+08:00,Mid
C00685,Single message,There's an unauthorized transaction on my credit card statement this month. I need to dispute this charge immediately.,Facebook,Credit Cards,Complaint,New,High,2027-01-05 14:15:00+08:00,,Low
C00686,Single message,"Hi, I need to update my registered mobile number for my BPI online banking account.",Email,Deposits,Request,New,High,2027-02-01 10:00:00+08:00,,Mid
C00687,User-chatbot conversation,"[""User: I want to know my BPI credit card's available credit limit."", 'Chatbot: Are you enrolled in BPI Online or Mobile app?', 'User: Yes, I am enrolled in the mobile app.', 'Chatbot: You can view your available credit limit by logging into your mobile app and navigating to your credit card details. Is there anything else you need help with?', 'User: Okay, thank you.']",Phone,Credit Cards,Inquiry,Assigned,Low,2027-02-02 15:30:00+08:00,,High
C00688,Multiple messages,"['I want to inquire about the requirements for a salary loan.', 'I am a regular employee for 2 years.', 'Can you please give me the list of requirements?']",Email,Loans,Inquiry,New,Medium,2027-02-03 09:15:00+08:00,,Mid
C00689,Single message,How can I deposit a check to my BPI account?,Branch,Deposits,Inquiry,Closed,Low,2027-02-04 11:00:00+08:00,2027-02-04 11:30:00+08:00,Mid
C00690,Single message,Unauthorized transaction on my BPI Mastercard! Di ko po alam yan!,Facebook,Credit Cards,Complaint,New,High,2027-02-05 14:00:00+08:00,,Low
C00691,Single message,Pano po mag-apply for a BPI credit card?,Facebook,Credit Cards,Inquiry,New,Medium,2027-03-01 08:00:00+08:00,,Low
C00692,User-chatbot conversation,"['User: I cannot log in to my BPI Online account. What should I do?', 'Chatbot: Have you tried resetting your password?', 'User: Yes, but I did not receive the verification code on my phone.', 'Chatbot: Please check if the mobile number registered on your account is active and correct.', 'User: I think it might be outdated.', 'Chatbot: Then you will have to visit the nearest branch to update your mobile number. Do you want a list of branches near you?']",Phone,Deposits,Complaint,Assigned,High,2027-03-02 15:30:00+08:00,,Mid
C00693,Multiple messages,"[""I would like to know more about BPI's Personal Equity and Retirement Account (PERA)."", 'What are the benefits and the investment options?', 'Thanks!']",Email,Deposits,Inquiry,New,Low,2027-03-03 10:15:00+08:00,,High
C00694,Single message,How to apply for a BPI housing loan online?,Facebook,Loans,Inquiry,Closed,Medium,2027-03-04 11:30:00+08:00,2027-03-04 12:00:00+08:00,Mid
C00695,Single message,I suspect my BPI credit card was compromised. What is your fraud department's contact number?,Phone,Credit Cards,Inquiry,New,High,2027-03-05 13:00:00+08:00,,Low
C00696,Single message,How do I transfer money from my BPI account to another local bank online?,Email,Deposits,Inquiry,New,Low,2027-04-01 14:30:00+08:00,,Mid
C00697,User-chatbot conversation,"[""User: I'm trying to apply for a personal loan online, but the website is not working correctly."", 'Chatbot: What specific issue are you experiencing on our website?', ""User: It's not loading properly and I keep getting error messages."", 'Chatbot: Have you tried using a different browser or device?', 'User: Yes, I have. Still no luck.', ""Chatbot: Please clear your browser's cache and cookies. If it still doesn't work, we can process your application at a nearby branch.""]",Phone,Loans,Complaint,Assigned,High,2027-04-02 09:00:00+08:00,,High
C00698,Multiple messages,"[""There's a charge on my credit card statement that I don't recognize. It's for [amount] on [date]."", ""I've never transacted with this merchant."", 'Please investigate and reverse this charge as soon as possible.']",Email,Credit Cards,Complaint,New,High,2027-04-03 16:45:00+08:00,,Low
C00699,Single message,Good morning! I want to know the interest rates and the minimum deposit for a BPI savings account.,Branch,Deposits,Inquiry,Closed,Low,2027-04-04 11:30:00+08:00,2027-04-04 12:00:00+08:00,Mid
C00700,Single message,Can you help me unlock my BPI mobile app? I forgot the password,Phone,Deposits,Request,New,High,2027-04-05 08:15:00+08:00,,Low
C00701,Single message,"My BPI debit card is not working online, even though I have enough funds. Please help!",Email,Deposits,Complaint,New,High,2027-05-01 10:00:00+08:00,,Low
